seed,nsaid,address,operation,configured,observed,bresp,rresp,memory_effect
55,5,0x0000000020000066,write,1,DENY,2,, 0
55,6,0x0000000020000073,read,1,DENY,,2,0
55,7,0x0000000020000080,write,0,DENY,2,, 0
55,8,0x000000002000008d,read,1,DENY,,2,0
55,9,0x000000002000009a,write,1,DENY,2,, 0
55,10,0x00000000200000a7,read,0,DENY,,2,0
55,11,0x00000000200000b4,write,1,DENY,2,, 0
55,12,0x00000000200000c1,read,1,DENY,,2,0
55,13,0x00000000200000ce,write,0,DENY,2,, 0
55,14,0x00000000200000db,read,1,DENY,,2,0
55,15,0x00000000200000e8,write,1,DENY,2,, 0
55,0,0x00000000200000f5,read,0,DENY,,2,0
55,1,0x0000000020000002,write,1,DENY,2,, 0
55,2,0x000000002000000f,read,1,DENY,,2,0
55,3,0x000000002000001c,write,0,DENY,2,, 0
55,4,0x0000000020000029,read,1,DENY,,2,0
55,5,0x0000000020000036,write,1,DENY,2,, 0
55,6,0x0000000020000043,read,0,DENY,,2,0
55,7,0x0000000020000050,write,1,DENY,2,, 0
55,8,0x000000002000005d,read,1,DENY,,2,0
55,9,0x000000002000006a,write,0,DENY,2,, 0
55,10,0x0000000020000077,read,1,DENY,,2,0
55,11,0x0000000020000084,write,1,DENY,2,, 0
55,12,0x0000000020000091,read,0,DENY,,2,0
55,13,0x000000002000009e,write,1,DENY,2,, 0
55,14,0x00000000200000ab,read,1,DENY,,2,0
55,15,0x00000000200000b8,write,0,DENY,2,, 0
55,0,0x00000000200000c5,read,1,DENY,,2,0
55,1,0x00000000200000d2,write,1,DENY,2,, 0
55,2,0x00000000200000df,read,0,DENY,,2,0
55,3,0x00000000200000ec,write,1,DENY,2,, 0
55,4,0x00000000200000f9,read,1,DENY,,2,0
55,5,0x0000000020000006,write,0,DENY,2,, 0
55,6,0x0000000020000013,read,1,DENY,,2,0
55,7,0x0000000020000020,write,1,DENY,2,, 0
55,8,0x000000002000002d,read,0,DENY,,2,0
55,9,0x000000002000003a,write,1,DENY,2,, 0
55,10,0x0000000020000047,read,1,DENY,,2,0
55,11,0x0000000020000054,write,0,DENY,2,, 0
55,12,0x0000000020000061,read,1,DENY,,2,0
55,13,0x000000002000006e,write,1,DENY,2,, 0
55,14,0x000000002000007b,read,0,DENY,,2,0
55,15,0x0000000020000088,write,1,DENY,2,, 0
55,0,0x0000000020000095,read,1,DENY,,2,0
55,1,0x00000000200000a2,write,0,DENY,2,, 0
